bin_name,MH-Pat,MH-s1,MH-s2,MH-s3,MH-s5
MH-Pat_all_autometa_cluster_DBSCAN_round1_10,0.14279659152046711,0.0,0.0,0.0,0.0
MH-Pat_all_metabat2_bins_bin.16,1.0,0.09517709799588099,0.08405454178033678,0.02885593223593255,0.0
MH-Pat_all_autometa_cluster_DBSCAN_round1_15,0.060723267219402494,0.0,0.0,0.0,0.0
s2_concoct_bins_bin.96,0.0,0.004074029887545373,0.018821430190914135,0.006774792099273175,0.004251951187543927
s3_metabat2_bins_bin.60,0.11736638129528172,0.019448444039202394,0.020929698843108465,0.03165045293168525,0.00758194215743261
s5_auto_cluster_DBSCAN_round1_1,0.07023491830163715,0.06908838449088299,0.21392566384232445,0.17466877557431573,0.3279470111295983
MH-Pat_all_autometa_cluster_DBSCAN_round1_6,0.11567231335253686,0.00803861402265582,0.009557017761595338,0.008911308550977402,0.0
s3_metabat2_bins_bin.4,0.006083634476696851,1.0,1.0,0.8747362030993647,0.38400139403340416
MH-Pat_all_autometa_cluster_DBSCAN_round1_1,0.27090221773666767,0.01523607583712703,0.030258771506908734,0.11037231975661894,0.0
MH-Pat_SR_autometa_cluster_DBSCAN_round1_1,0.01309969276583559,0.0,0.0,0.0,0.0
MH-Pat_SR_autometa_cluster_DBSCAN_round3_0,0.08127626756384834,0.1544772077658995,0.1711212581056799,0.3120709051477357,0.10290307484447801
MH-Pat_all_autometa_cluster_DBSCAN_round1_0,0.12149945879547068,0.1173212056619726,0.01613249444749366,0.012505586802313489,0.008643612330487722
MH-Pat_SR_metabat2_bins_bin.25,0.021767075464500504,0.0,0.0,0.0,0.0
s2_auto_cluster_DBSCAN_round2_0,0.08344282549524483,0.08986471988395124,0.08173822506400238,1.0,0.0752087598630823
MH-Pat_SR_metabat2_bins_bin.5,0.04713233525548439,0.0,0.0,0.0,0.0
MH-Pat_all_autometa_cluster_DBSCAN_round1_2,0.22175555113503148,0.004480678230580803,0.006446221435704896,0.029433584097754418,0.0
MH-Pat_all_metabat2_bins_bin.32,0.1373255542948159,0.0,0.0,0.16832248619313306,0.007911180797837512
MH-Pat_all_autometa_cluster_DBSCAN_round1_3,0.20164197308504697,0.01038549829771487,0.011076622739560456,0.05771614337454526,0.0
MH-Pat_all_autometa_cluster_DBSCAN_round1_21,0.06287345289883221,0.0,0.0,0.004115646085595828,0.0
s2_metabat2_bins_bin.7,0.0,0.08170503743722637,0.10360651635230436,0.0893761667914365,0.06743765459370993
MH-Pat_all_autometa_cluster_DBSCAN_round1_8,0.18916970829302315,0.01138399045113923,0.013611454872099141,0.008539702310523332,0.0
s3_auto_cluster_DBSCAN_round2_6,0.15365308795139887,0.19268866179720237,0.1106923180038506,0.8828930031786695,1.0
MH-Pat_SR_autometa_cluster_DBSCAN_round2_1,0.07274924584969111,0.0,0.0,0.0,0.0
MH-Pat_SR_autometa_cluster_DBSCAN_round4_1,0.04354239887004356,0.0,0.0,0.0,0.0
s1_metabat2_bins_bin.31,0.005286908076053608,0.20384431869356123,0.20625522288753598,0.1876568725266251,0.08300950446047665
s3_auto_cluster_DBSCAN_round2_24,0.07735950020362668,0.01801663312960543,0.027071671356730515,0.025004628603756282,0.04214527882125439
